iter	Passed	Remaining
0	148	44398
1	149	22213
2	149	14817
3	150	11120
4	150	8899
5	151	7417
6	151	6358
7	152	5565
8	153	4947
9	153	4452
10	154	4047
11	154	3710
12	155	3424
13	155	3180
14	156	2967
15	156	2782
16	157	2618
17	157	2472
18	158	2341
19	158	2224
20	159	2116
21	159	2019
22	160	1931
23	160	1849
24	161	1775
25	161	1706
26	162	1641
27	162	1582
28	163	1527
29	163	1475
30	164	1428
31	165	1383
32	165	1340
33	166	1300
34	166	1262
35	167	1225
36	167	1191
37	168	1159
38	168	1128
39	169	1099
40	169	1072
41	170	1045
42	170	1020
43	171	996
44	171	973
45	172	951
46	172	930
47	173	909
48	173	890
49	174	871
50	174	853
51	175	836
52	175	819
53	176	803
54	176	787
55	177	773
56	178	759
57	178	746
58	179	733
59	180	721
60	180	708
61	181	696
62	181	684
63	182	672
64	182	661
65	183	650
66	183	639
67	184	629
68	185	619
69	185	609
70	186	599
71	186	590
72	187	581
73	187	572
74	188	564
75	188	555
76	189	547
77	189	539
78	190	531
79	190	524
80	191	516
81	191	509
82	192	502
83	192	495
84	193	489
85	193	482
86	194	476
87	195	470
88	195	463
89	196	457
90	196	451
91	197	445
92	197	440
93	198	434
94	198	429
95	199	423
96	200	418
97	200	413
98	201	408
99	201	403
100	202	398
101	202	393
102	203	388
103	203	384
104	204	379
105	204	375
106	205	370
107	206	366
108	206	361
109	207	357
110	207	353
111	208	349
112	208	345
113	209	341
114	209	337
115	210	333
116	210	329
117	211	325
118	211	322
119	212	318
120	212	314
121	213	311
122	213	307
123	214	304
124	214	300
125	215	297
126	215	294
127	216	290
128	216	287
129	217	284
130	217	281
131	218	278
132	219	275
133	220	272
134	220	269
135	221	266
136	221	264
137	222	261
138	223	258
139	223	255
140	224	253
141	225	250
142	225	247
143	226	244
144	226	242
145	227	239
146	227	236
147	228	234
148	228	231
149	229	229
150	229	226
151	230	224
152	230	221
153	231	219
154	232	217
155	232	214
156	233	212
157	233	210
158	234	207
159	234	205
160	235	203
161	235	200
162	236	198
163	236	196
164	237	194
165	237	192
166	238	189
167	238	187
168	239	185
169	240	183
170	240	181
171	241	179
172	241	177
173	242	175
174	242	173
175	243	171
176	243	169
177	244	167
178	244	165
179	245	163
180	245	161
181	246	159
182	246	157
183	247	155
184	247	154
185	248	152
186	248	150
187	249	148
188	249	146
189	250	145
190	251	143
191	251	141
192	252	139
193	252	138
194	253	136
195	253	134
196	254	132
197	254	131
198	255	129
199	255	127
200	256	126
201	256	124
202	257	122
203	257	121
204	258	119
205	258	118
206	259	116
207	259	114
208	260	113
209	260	111
210	261	110
211	261	108
212	262	107
213	263	105
214	263	104
215	264	102
216	264	101
217	265	99
218	265	98
219	266	96
220	266	95
221	267	93
222	267	92
223	268	91
224	268	89
225	269	88
226	269	86
227	270	85
228	270	83
229	271	82
230	271	81
231	272	79
232	273	78
233	273	77
234	274	75
235	274	74
236	275	73
237	275	71
238	276	70
239	276	69
240	277	67
241	277	66
242	278	65
243	279	64
244	279	62
245	280	61
246	280	60
247	281	58
248	281	57
249	282	56
250	282	55
251	283	53
252	283	52
253	284	51
254	284	50
255	285	49
256	285	47
257	286	46
258	286	45
259	287	44
260	287	43
261	288	41
262	289	40
263	289	39
264	290	38
265	290	37
266	291	35
267	291	34
268	292	33
269	292	32
270	293	31
271	293	30
272	294	29
273	294	27
274	295	26
275	295	25
276	296	24
277	296	23
278	297	22
279	297	21
280	298	20
281	299	19
282	299	17
283	300	16
284	300	15
285	301	14
286	301	13
287	302	12
288	302	11
289	303	10
290	303	9
291	304	8
292	304	7
293	305	6
294	305	5
295	306	4
296	306	3
297	307	2
298	307	1
299	308	0
