iter	Passed	Remaining
0	135	135793
1	138	68989
2	140	46763
3	143	35640
4	145	28941
5	147	24469
6	149	21270
7	152	18874
8	154	17017
9	156	15504
10	158	14275
11	160	13249
12	162	12360
13	165	11625
14	167	11003
15	169	10435
16	171	9932
17	173	9484
18	175	9073
19	178	8727
20	179	8387
21	181	8070
22	183	7778
23	184	7499
24	185	7241
25	187	7005
26	188	6784
27	189	6577
28	191	6402
29	193	6247
30	194	6088
31	196	5932
32	197	5783
33	198	5647
34	199	5513
35	201	5387
36	202	5271
37	204	5165
38	205	5066
39	207	4977
40	208	4886
41	210	4797
42	211	4713
43	213	4637
44	214	4558
45	216	4481
46	217	4408
47	219	4347
48	221	4290
49	222	4232
50	224	4175
51	225	4115
52	227	4057
53	228	3998
54	229	3942
55	230	3890
56	232	3844
57	234	3803
58	235	3759
59	237	3713
60	238	3668
61	239	3625
62	241	3585
63	242	3545
64	243	3507
65	245	3469
66	246	3438
67	248	3405
68	249	3368
69	251	3337
70	252	3302
71	253	3269
72	255	3238
73	256	3206
74	257	3177
75	258	3148
76	260	3122
77	262	3100
78	263	3074
79	265	3048
80	266	3021
81	267	2997
82	268	2964
83	269	2941
84	271	2918
85	272	2897
86	274	2878
87	275	2860
88	277	2838
89	278	2817
90	279	2796
91	281	2776
92	282	2756
93	283	2736
94	285	2717
95	286	2699
96	288	2684
97	290	2669
98	291	2653
99	292	2636
100	294	2621
101	296	2607
102	297	2591
103	298	2575
104	300	2558
105	301	2541
106	303	2529
107	304	2517
108	306	2502
109	307	2487
110	308	2472
111	309	2457
112	311	2442
113	312	2427
114	313	2414
115	314	2400
116	316	2387
117	318	2378
118	319	2367
119	320	2353
120	322	2340
121	323	2326
122	324	2314
123	326	2303
124	327	2290
125	328	2279
126	329	2266
127	331	2257
128	333	2250
129	334	2239
130	335	2228
131	337	2217
132	338	2206
133	339	2196
134	341	2185
135	342	2174
136	343	2164
137	345	2155
138	347	2149
139	348	2141
140	349	2131
141	350	2119
142	351	2109
143	353	2099
144	354	2091
145	355	2081
146	357	2073
147	358	2063
148	360	2056
149	361	2051
150	363	2043
151	364	2036
152	366	2028
153	367	2020
154	369	2013
155	370	2006
156	372	1999
157	374	1993
158	375	1988
159	377	1982
160	378	1973
161	380	1967
162	382	1962
163	383	1955
164	385	1949
165	386	1942
166	388	1937
167	390	1933
168	391	1927
169	393	1920
170	394	1914
171	396	1907
172	397	1901
173	399	1895
174	400	1888
175	403	1887
176	405	1884
177	406	1878
178	408	1871
179	409	1865
180	410	1859
181	412	1853
182	413	1847
183	415	1842
184	417	1839
185	419	1836
186	421	1832
187	423	1827
188	425	1824
189	426	1819
190	428	1816
191	430	1810
192	432	1808
193	435	1807
194	436	1803
195	439	1801
196	440	1797
197	442	1793
198	444	1789
199	446	1787
200	448	1783
201	450	1778
202	451	1773
203	453	1768
204	454	1762
205	455	1757
206	457	1751
207	458	1746
208	460	1742
209	462	1740
210	464	1735
211	465	1730
212	466	1725
213	468	1720
214	469	1715
215	471	1710
216	472	1705
217	474	1701
218	476	1697
219	477	1694
220	479	1690
221	481	1686
222	482	1682
223	484	1678
224	485	1673
225	487	1668
226	488	1664
227	491	1663
228	492	1658
229	494	1653
230	495	1649
231	496	1644
232	498	1639
233	499	1635
234	500	1630
235	502	1625
236	504	1622
237	505	1619
238	507	1614
239	508	1609
240	509	1605
241	511	1601
242	512	1596
243	513	1592
244	515	1588
245	517	1585
246	519	1582
247	520	1578
248	522	1574
249	523	1570
250	524	1565
251	526	1561
252	527	1556
253	528	1552
254	529	1548
255	531	1545
256	533	1543
257	535	1539
258	536	1535
259	538	1531
260	539	1527
261	540	1523
262	542	1519
263	543	1515
264	545	1511
265	546	1509
266	548	1506
267	550	1502
268	551	1498
269	552	1494
270	554	1490
271	555	1487
272	557	1483
273	558	1480
274	560	1476
275	562	1474
276	563	1471
277	565	1468
278	567	1465
279	569	1463
280	570	1460
281	572	1457
282	573	1453
283	575	1450
284	577	1448
285	578	1444
286	580	1441
287	581	1437
288	582	1434
289	584	1430
290	585	1427
291	587	1423
292	588	1420
293	590	1419
294	592	1416
295	593	1412
296	595	1409
297	596	1405
298	597	1401
299	599	1398
300	600	1395
301	602	1391
302	603	1389
303	606	1387
304	607	1384
305	608	1381
306	610	1377
307	611	1374
308	613	1371
309	614	1367
310	615	1364
311	617	1360
312	619	1358
313	620	1356
314	622	1353
315	623	1349
316	625	1346
317	626	1343
318	627	1339
319	628	1336
320	630	1333
321	631	1330
322	633	1328
323	635	1326
324	636	1322
325	638	1319
326	639	1316
327	641	1313
328	642	1310
329	643	1307
330	645	1304
331	647	1302
332	649	1300
333	650	1297
334	652	1295
335	654	1292
336	655	1290
337	657	1287
338	658	1284
339	660	1281
340	662	1279
341	663	1276
342	665	1273
343	666	1271
344	667	1268
345	669	1265
346	670	1262
347	672	1259
348	673	1256
349	674	1253
350	676	1251
351	678	1248
352	679	1245
353	680	1242
354	682	1239
355	683	1236
356	684	1233
357	686	1230
358	687	1227
359	689	1225
360	690	1223
361	692	1220
362	694	1218
363	695	1215
364	696	1212
365	698	1209
366	699	1206
367	701	1203
368	702	1201
369	704	1199
370	706	1197
371	707	1194
372	709	1191
373	710	1189
374	711	1186
375	713	1183
376	714	1180
377	715	1177
378	717	1175
379	718	1172
380	720	1171
381	722	1168
382	723	1166
383	725	1163
384	726	1160
385	728	1158
386	729	1155
387	730	1152
388	732	1150
389	734	1148
390	735	1146
391	737	1143
392	738	1141
393	740	1138
394	741	1135
395	742	1133
396	744	1130
397	745	1127
398	747	1125
399	749	1123
400	750	1121
401	752	1118
402	753	1116
403	755	1114
404	756	1111
405	758	1109
406	759	1106
407	761	1104
408	763	1102
409	765	1100
410	766	1098
411	768	1096
412	769	1093
413	770	1091
414	772	1088
415	773	1085
416	774	1083
417	776	1081
418	778	1079
419	779	1077
420	781	1074
421	782	1072
422	784	1069
423	785	1067
424	786	1064
425	788	1062
426	789	1059
427	791	1057
428	793	1056
429	795	1054
430	797	1053
431	799	1051
432	801	1049
433	802	1047
434	805	1045
435	807	1044
436	809	1042
437	810	1040
438	812	1037
439	813	1035
440	814	1032
441	816	1030
442	817	1027
443	819	1025
444	821	1024
445	822	1021
446	824	1019
447	825	1017
448	826	1014
449	828	1012
450	829	1009
451	831	1007
452	832	1005
453	834	1003
454	836	1001
455	837	999
456	839	997
457	841	995
458	843	993
459	844	991
460	845	988
461	847	986
462	849	984
463	850	982
464	852	980
465	853	978
466	854	975
467	856	973
468	857	970
469	858	968
470	859	965
471	861	963
472	862	961
473	864	959
474	865	957
475	867	954
476	868	952
477	869	949
478	871	947
479	872	945
480	873	942
481	875	940
482	876	938
483	878	936
484	879	934
485	881	932
486	882	929
487	883	927
488	885	925
489	886	923
490	888	920
491	889	918
492	891	916
493	893	915
494	895	913
495	896	911
496	898	909
497	899	907
498	901	905
499	902	902
500	904	900
501	906	899
502	908	897
503	909	895
504	911	893
505	912	890
506	914	888
507	915	886
508	916	884
509	918	882
510	920	881
511	922	879
512	924	877
513	926	875
514	927	873
515	928	871
516	930	869
517	932	867
518	933	865
519	935	863
520	937	861
521	938	859
522	940	857
523	941	855
524	943	853
525	944	851
526	945	849
527	947	847
528	949	845
529	951	843
530	952	841
531	953	839
532	955	836
533	956	834
534	957	832
535	959	830
536	960	828
537	961	826
538	963	824
539	965	822
540	966	820
541	967	817
542	969	815
543	970	813
544	971	811
545	973	809
546	974	807
547	976	805
548	977	803
549	979	801
550	981	799
551	982	797
552	983	795
553	985	793
554	986	790
555	987	788
556	989	786
557	990	784
558	992	782
559	993	780
560	995	778
561	996	776
562	997	774
563	999	772
564	1000	770
565	1001	768
566	1003	766
567	1004	763
568	1006	762
569	1008	760
570	1009	758
571	1011	756
572	1012	754
573	1013	752
574	1015	750
575	1016	748
576	1017	746
577	1019	744
578	1021	742
579	1022	740
580	1024	738
581	1026	737
582	1027	735
583	1029	733
584	1030	731
585	1032	729
586	1033	727
587	1035	725
588	1037	723
589	1038	721
590	1039	719
591	1041	717
592	1042	715
593	1043	713
594	1045	711
595	1046	709
596	1048	707
597	1049	705
598	1051	703
599	1053	702
600	1054	700
601	1055	698
602	1057	695
603	1058	693
604	1059	691
605	1061	690
606	1063	688
607	1064	686
608	1066	684
609	1067	682
610	1069	680
611	1070	678
612	1071	676
613	1073	674
614	1074	672
615	1076	670
616	1077	669
617	1079	667
618	1080	665
619	1082	663
620	1083	661
621	1085	659
622	1086	657
623	1087	655
624	1089	653
625	1090	651
626	1092	649
627	1094	648
628	1095	646
629	1097	644
630	1098	642
631	1099	640
632	1101	638
633	1102	636
634	1103	634
635	1105	632
636	1107	630
637	1108	629
638	1110	627
639	1111	625
640	1113	623
641	1114	621
642	1115	619
643	1117	617
644	1118	615
645	1120	613
646	1121	612
647	1123	610
648	1125	608
649	1126	606
650	1128	604
651	1129	603
652	1131	601
653	1132	599
654	1134	597
655	1135	595
656	1137	593
657	1138	591
658	1140	590
659	1141	588
660	1143	586
661	1144	584
662	1145	582
663	1147	580
664	1148	578
665	1150	577
666	1152	575
667	1154	573
668	1156	572
669	1158	570
670	1159	568
671	1161	567
672	1164	565
673	1166	564
674	1168	562
675	1169	560
676	1170	558
677	1172	556
678	1173	554
679	1175	552
680	1176	551
681	1178	549
682	1180	547
683	1181	545
684	1182	543
685	1184	542
686	1185	540
687	1186	538
688	1188	536
689	1189	534
690	1190	532
691	1192	530
692	1194	529
693	1195	527
694	1197	525
695	1198	523
696	1200	521
697	1201	519
698	1202	517
699	1204	516
700	1205	514
701	1207	512
702	1209	510
703	1210	509
704	1212	507
705	1214	505
706	1215	503
707	1217	502
708	1218	500
709	1219	498
710	1221	496
711	1223	494
712	1225	493
713	1226	491
714	1227	489
715	1229	487
716	1230	485
717	1231	483
718	1233	481
719	1234	480
720	1236	478
721	1238	476
722	1239	475
723	1241	473
724	1242	471
725	1244	469
726	1245	467
727	1246	465
728	1248	463
729	1249	462
730	1251	460
731	1253	458
732	1254	457
733	1256	455
734	1257	453
735	1258	451
736	1260	449
737	1261	447
738	1263	446
739	1264	444
